t,x,y,z,qw,qx,qy,qz,tx,ty,tz
1.415,66.5377,-5.8757,997.082,-0.70109,0.551326,-0.396188,0.218054,100,0,1000
1.42,66.753,-5.92676,997.119,-0.689003,0.577767,-0.344284,0.270053,100,0,1000
1.425,66.968,-5.97754,997.157,-0.670547,0.602808,-0.288563,0.322057,100,0,1000
1.43,67.1828,-6.02802,997.197,-0.640284,0.630629,-0.225607,0.376091,100,0,1000
1.435,67.3973,-6.07815,997.238,-0.600191,0.656372,-0.156815,0.429366,100,0,1000
1.44,67.6115,-6.1279,997.28,-0.550729,0.677941,-0.0835939,0.479693,100,0,1000
1.445,67.8255,-6.17726,997.323,-0.49565,0.691489,-0.0091257,0.525444,100,0,1000
1.45,68.0392,-6.22621,997.367,-0.427833,0.70145,0.0710443,0.56558,100,0,1000
1.455,68.2526,-6.27472,997.413,-0.350584,0.702724,0.154196,0.599578,100,0,1000
1.46,68.4657,-6.32277,997.46,-0.267366,0.693692,0.236246,0.625695,100,0,1000
1.465,68.6785,-6.37037,997.508,-0.183641,0.673769,0.312088,0.644137,100,0,1000
1.47,68.891,-6.41748,997.557,-0.0830893,0.644702,0.395966,0.648588,100,0,1000
1.475,69.1031,-6.46402,997.608,0.0325767,0.602923,0.484646,0.632883,100,0,1000
1.48,69.315,-6.50992,997.66,0.150808,0.54621,0.564954,0.599783,100,0,1000
1.485,69.5265,-6.55514,997.713,0.274941,0.4711,0.639637,0.541606,100,0,1000
1.49,69.7377,-6.59965,997.767,0.389683,0.38281,0.694333,0.468514,100,0,1000
1.495,69.9485,-6.6434,997.823,0.49987,0.274871,0.73284,0.370839,100,0,1000
1.5,70.159,-6.68637,997.88,0.593634,0.155972,0.745794,0.258963,100,0,1000
1.505,70.3692,-6.72851,997.938,0.668917,0.0219103,0.732083,0.126982,100,0,1000
1.51,70.579,-6.7698,997.998,0.717188,-0.110512,0.688022,-0.00733896,100,0,1000
1.515,70.7884,-6.81025,998.059,0.735711,-0.240645,0.616656,-0.143367,100,0,1000
1.52,70.9975,-6.84983,998.121,0.724502,-0.361996,0.518019,-0.275159,100,0,1000
1.525,71.2062,-6.88854,998.184,0.680692,-0.470442,0.398257,-0.395897,100,0,1000
1.53,71.4145,-6.92636,998.249,0.605012,-0.561577,0.258646,-0.501691,100,0,1000
1.535,71.6224,-6.96327,998.314,0.501432,-0.626066,0.102501,-0.588304,100,0,1000
1.54,71.83,-6.99927,998.381,0.371333,-0.663791,-0.0601333,-0.646435,100,0,1000
1.545,72.0372,-7.03429,998.45,0.212886,-0.671626,-0.229227,-0.671605,100,0,1000
1.55,72.244,-7.0683,998.519,0.0363008,-0.640996,-0.391431,-0.659233,100,0,1000
1.555,72.4504,-7.10125,998.59,-0.147217,-0.571216,-0.534503,-0.605265,100,0,1000
1.56,72.6564,-7.13312,998.662,-0.325356,-0.464205,-0.648029,-0.508641,100,0,1000
1.565,72.8619,-7.16386,998.735,-0.489391,-0.318957,-0.72302,-0.36879,100,0,1000
1.57,73.0671,-7.1934,998.81,-0.620529,-0.143726,-0.746187,-0.193628,100,0,1000
1.575,73.2718,-7.22169,998.886,-0.705914,0.0493768,-0.706569,0.00275882,100,0,1000
1.58,73.476,-7.24873,998.963,-0.731235,0.239401,-0.606599,0.200051,100,0,1000
1.585,73.6798,-7.27448,999.041,-0.691105,0.41348,-0.45135,0.384308,100,0,1000
1.59,73.8831,-7.29893,999.12,-0.589074,0.550083,-0.255434,0.533998,100,0,1000
1.595,74.086,-7.32205,999.201,-0.427911,0.638478,-0.027447,0.639129,100,0,1000
1.6,74.2883,-7.34382,999.283,-0.222276,0.663079,0.20743,0.684026,100,0,1000
1.605,74.4902,-7.3642,999.366,0.0127434,0.61934,0.427585,0.658352,100,0,1000
1.61,74.6915,-7.38314,999.45,0.254229,0.506317,0.608362,0.555793,100,0,1000
1.615,74.8923,-7.40061,999.536,0.469376,0.332616,0.72008,0.387991,100,0,1000
1.62,75.0926,-7.41657,999.623,0.631625,0.114069,0.748501,0.16669,100,0,1000
1.625,75.2923,-7.43097,999.71,0.717705,-0.126299,0.679746,-0.0830224,100,0,1000
1.63,75.4915,-7.44378,999.799,0.706938,-0.353943,0.518504,-0.325756,100,0,1000
1.635,75.6901,-7.45497,999.89,0.59644,-0.535957,0.282647,-0.526423,100,0,1000
1.64,75.8881,-7.46449,999.981,0.393745,-0.644659,-0.0024981,-0.655266,100,0,1000
1.645,76.0855,-7.4723,1000.07,0.125701,-0.65562,-0.292872,-0.684534,100,0,1000
1.65,76.2823,-7.47834,1000.17,-0.17371,-0.559746,-0.546166,-0.598508,100,0,1000
1.655,76.4786,-7.48257,1000.26,-0.446862,-0.365238,-0.70773,-0.407472,100,0,1000
1.66,76.6742,-7.48495,1000.36,-0.643283,-0.103864,-0.745132,-0.14205,100,0,1000
1.665,76.8691,-7.48545,1000.45,-0.723411,0.185444,-0.645683,0.159311,100,0,1000
1.67,77.0634,-7.484,1000.55,-0.659236,0.447475,-0.416546,0.437794,100,0,1000
1.675,77.2571,-7.48058,1000.65,-0.467625,0.614203,-0.105829,0.626803,100,0,1000
1.68,77.4502,-7.47518,1000.75,-0.169705,0.658102,0.240931,0.692859,100,0,1000
1.685,77.6425,-7.46771,1000.85,0.174969,0.554281,0.543339,0.605757,100,0,1000
1.69,77.8341,-7.45812,1000.95,0.483938,0.319212,0.723469,0.374833,100,0,1000
1.695,78.025,-7.44639,1001.05,0.682351,0.00156361,0.729326,0.0497773,100,0,1000
1.7,78.2151,-7.43246,1001.15,0.71474,-0.319855,0.549692,-0.290994,100,0,1000
1.705,78.4044,-7.41632,1001.25,0.562613,-0.563303,0.222404,-0.562754,100,0,1000
1.71,78.5929,-7.39793,1001.36,0.26001,-0.656535,-0.168026,-0.687839,100,0,1000
1.715,78.7806,-7.37726,1001.46,-0.120928,-0.56753,-0.520133,-0.626696,100,0,1000
1.72,78.9675,-7.35427,1001.57,-0.469708,-0.317623,-0.727432,-0.386437,100,0,1000
1.725,79.1535,-7.32895,1001.67,-0.68674,0.0240385,-0.725555,-0.0371352,100,0,1000
1.73,79.3386,-7.30129,1001.78,-0.704,0.365151,-0.512138,0.329794,100,0,1000
1.735,79.5228,-7.27121,1001.89,-0.501203,0.604286,-0.134587,0.604583,100,0,1000
1.74,79.7061,-7.23866,1002,-0.13601,0.650094,0.29047,0.688844,100,0,1000
1.745,79.8886,-7.2036,1002.1,0.281498,0.480494,0.626951,0.544809,100,0,1000
1.75,80.07,-7.16598,1002.21,0.609769,0.140986,0.750036,0.213894,100,0,1000
1.755,80.2505,-7.12574,1002.32,0.725712,-0.26348,0.600425,-0.20835,100,0,1000
1.76,80.43,-7.08283,1002.43,0.566985,-0.568722,0.2281,-0.550503,100,0,1000
1.765,80.6086,-7.03724,1002.54,0.195955,-0.659381,-0.23163,-0.68787,100,0,1000
1.77,80.786,-6.98891,1002.65,-0.266929,-0.486706,-0.615652,-0.559319,100,0,1000
1.775,80.9624,-6.93784,1002.76,-0.618589,-0.120881,-0.746136,-0.214515,100,0,1000
1.78,81.1378,-6.88403,1002.87,-0.726275,0.296745,-0.579941,0.2194,100,0,1000
1.785,81.312,-6.82747,1002.98,-0.540925,0.595906,-0.181224,0.565203,100,0,1000
1.79,81.4852,-6.76816,1003.09,-0.140258,0.654596,0.289064,0.684305,100,0,1000
1.795,81.6573,-6.70609,1003.2,0.320012,0.44886,0.645909,0.528128,100,0,1000
1.8,81.8283,-6.64126,1003.31,0.651314,0.059208,0.740202,0.156159,100,0,1000
1.805,81.9981,-6.57362,1003.42,0.719595,-0.364115,0.516274,-0.288209,100,0,1000
1.81,82.1668,-6.50314,1003.53,0.479187,-0.627556,0.0627211,-0.610425,100,0,1000
1.815,82.3342,-6.42979,1003.64,0.0205982,-0.609868,-0.428045,-0.666644,100,0,1000
1.82,82.5004,-6.35357,1003.75,-0.44324,-0.320546,-0.723696,-0.420777,100,0,1000
1.825,82.6654,-6.27446,1003.86,-0.71066,0.115647,-0.693783,0.0159114,100,0,1000
1.83,82.8291,-6.19244,1003.96,-0.654304,0.501195,-0.347087,0.44746,100,0,1000
1.835,82.9916,-6.10753,1004.07,-0.300868,0.655137,0.158455,0.67466,100,0,1000
1.84,83.1528,-6.01973,1004.18,0.188704,0.506833,0.591538,0.597991,100,0,1000
1.845,83.3127,-5.92905,1004.28,0.59144,0.129348,0.754996,0.25189,100,0,1000
1.85,83.4714,-5.83549,1004.39,0.728397,-0.30952,0.573902,-0.210407,100,0,1000
1.855,83.6287,-5.73906,1004.49,0.534049,-0.604685,0.125317,-0.577445,100,0,1000
1.86,83.7847,-5.63974,1004.6,0.0983041,-0.618844,-0.379201,-0.680863,100,0,1000
1.865,83.9393,-5.53758,1004.7,-0.380411,-0.354234,-0.710858,-0.473799,100,0,1000
1.87,84.0927,-5.43257,1004.8,-0.689426,0.070757,-0.718612,-0.0572914,100,0,1000
1.875,84.2446,-5.32472,1004.9,-0.688721,0.466702,-0.396055,0.388579,100,0,1000
1.88,84.3952,-5.21401,1005,-0.370581,0.648247,0.109531,0.656086,100,0,1000
1.885,84.5444,-5.10043,1005.1,0.117691,0.527718,0.564716,0.623505,100,0,1000
1.89,84.6922,-4.98402,1005.2,0.552372,0.162012,0.757117,0.308887,100,0,1000
1.895,84.8386,-4.86476,1005.29,0.738658,-0.284687,0.592108,-0.150819,100,0,1000
1.9,84.9835,-4.74263,1005.38,0.576883,-0.595596,0.140669,-0.541002,100,0,1000
1.905,85.1269,-4.61767,1005.48,0.150232,-0.618919,-0.371617,-0.675478,100,0,1000
1.91,85.2687,-4.48991,1005.57,-0.343908,-0.354267,-0.709947,-0.502192,100,0,1000
1.915,85.4091,-4.35941,1005.65,-0.677413,0.0661139,-0.724924,-0.10595,100,0,1000
1.92,85.5479,-4.22617,1005.74,-0.711421,0.456058,-0.415768,0.336197,100,0,1000
1.925,85.6852,-4.09022,1005.83,-0.436632,0.636204,0.082072,0.630762,100,0,1000
1.93,85.821,-3.95163,1005.91,0.0120522,0.545056,0.528736,0.650543,100,0,1000
1.935,85.9553,-3.8105,1005.99,0.445943,0.238994,0.754858,0.41738,100,0,1000
1.94,86.0881,-3.66688,1006.06,0.710768,-0.159542,0.684509,0.0283343,100,0,1000
1.945,86.2195,-3.52077,1006.14,0.704144,-0.496781,0.343651,-0.37322,100,0,1000
1.95,86.3493,-3.37225,1006.21,0.443895,-0.631216,-0.116198,-0.625317,100,0,1000
1.955,86.4775,-3.22139,1006.28,0.0281451,-0.533089,-0.532298,-0.657026,100,0,1000
1.96,86.6043,-3.06819,1006.35,-0.407449,-0.232282,-0.758041,-0.453217,100,0,1000
1.965,86.7294,-2.91269,1006.42,-0.693913,0.150322,-0.697842,-0.0943597,100,0,1000
1.97,86.8529,-2.75494,1006.48,-0.737585,0.467523,-0.395806,0.284128,100,0,1000
1.975,86.9748,-2.5951,1006.54,-0.556396,0.619323,0.0112976,0.553836,100,0,1000
1.98,87.0953,-2.43328,1006.6,-0.228049,0.585885,0.403809,0.664583,100,0,1000
1.985,87.2142,-2.26954,1006.65,0.169803,0.380797,0.686807,0.595363,100,0,1000
1.99,87.3316,-2.10386,1006.7,0.523108,0.0624263,0.768971,0.36214,100,0,1000
1.995,87.4474,-1.93631,1006.75,0.730762,-0.266971,0.627074,0.0386133,100,0,1000
2,87.5616,-1.76691,1006.8,0.738187,-0.522634,0.305199,-0.297973,100,0,1000
2.005,87.6741,-1.59571,1006.84,0.550192,-0.62212,-0.0975866,-0.548391,100,0,1000
2.01,87.785,-1.42278,1006.88,0.22684,-0.546564,-0.466918,-0.657114,100,0,1000
2.015,87.8942,-1.24818,1006.92,-0.154274,-0.327047,-0.713794,-0.599781,100,0,1000
2.02,88.0018,-1.07196,1006.96,-0.489458,-0.0298403,-0.771872,-0.404664,100,0,1000
2.025,88.1077,-0.89421,1006.99,-0.706694,0.262716,-0.6438,-0.130715,100,0,1000
2.03,88.2121,-0.715022,1007.02,-0.770789,0.488515,-0.375037,0.163047,100,0,1000
2.035,88.3148,-0.534465,1007.04,-0.68189,0.602473,-0.0384629,0.413005,100,0,1000
2.04,88.416,-0.35266,1007.07,-0.486703,0.587754,0.285211,0.579931,100,0,1000
2.045,88.5157,-0.169735,1007.09,-0.225943,0.471301,0.547154,0.653795,100,0,1000
2.05,88.614,0.0142522,1007.11,0.0713612,0.277118,0.722457,0.62942,100,0,1000
2.055,88.7107,0.199266,1007.12,0.349622,0.04584,0.780787,0.515786,100,0,1000
2.06,88.8061,0.385228,1007.13,0.569505,-0.178566,0.723678,0.346508,100,0,1000
2.065,88.9,0.572056,1007.14,0.715305,-0.371395,0.574328,0.14336,100,0,1000
2.07,88.9926,0.759663,1007.15,0.7825,-0.502323,0.363346,-0.0578417,100,0,1000
2.075,89.0839,0.947965,1007.16,0.771608,-0.573954,0.119634,-0.246748,100,0,1000
2.08,89.1739,1.13691,1007.16,0.692617,-0.581615,-0.128086,-0.40694,100,0,1000
2.085,89.2626,1.32644,1007.16,0.560111,-0.535776,-0.351412,-0.525099,100,0,1000
2.09,89.3502,1.51652,1007.16,0.387429,-0.441221,-0.540044,-0.602972,100,0,1000
2.095,89.4366,1.70708,1007.15,0.184835,-0.304873,-0.681626,-0.638963,100,0,1000
2.1,89.5217,1.89811,1007.14,-0.0223381,-0.150296,-0.763433,-0.627759,100,0,1000
2.105,89.6057,2.08954,1007.14,-0.217171,0.00741469,-0.782747,-0.583172,100,0,1000
2.11,89.6887,2.28131,1007.12,-0.392475,0.157652,-0.748161,-0.511238,100,0,1000
2.115,89.7705,2.47337,1007.11,-0.537693,0.290209,-0.672651,-0.41738,100,0,1000
2.12,89.8514,2.66571,1007.1,-0.653786,0.404553,-0.562134,-0.304803,100,0,1000
2.125,89.9313,2.85828,1007.08,-0.736769,0.488452,-0.427931,-0.18831,100,0,1000
2.13,90.0103,3.05104,1007.06,-0.786043,0.539084,-0.291477,-0.0810322,100,0,1000
2.135,90.0884,3.24395,1007.04,-0.808766,0.56728,-0.153708,0.021566,100,0,1000
2.14,90.1658,3.43696,1007.02,-0.812301,0.571846,-0.0268131,0.111534,100,0,1000
2.145,90.2425,3.63004,1006.99,-0.800316,0.560331,0.0914553,0.192767,100,0,1000
2.15,90.3187,3.82316,1006.97,-0.781537,0.540998,0.180549,0.252831,100,0,1000
2.155,90.3943,4.01632,1006.94,-0.75516,0.514155,0.264685,0.30874,100,0,1000
2.16,90.4695,4.20948,1006.92,-0.729807,0.484229,0.329263,0.352832,100,0,1000
2.165,90.5443,4.40262,1006.89,-0.708815,0.454459,0.375848,0.387024,100,0,1000
2.17,90.6188,4.59574,1006.86,-0.677797,0.418778,0.430549,0.424079,100,0,1000
2.175,90.693,4.78883,1006.84,-0.651417,0.386565,0.470432,0.452678,100,0,1000
2.18,90.7669,4.98189,1006.81,-0.637498,0.361659,0.489575,0.472351,100,0,1000
2.185,90.8407,5.17488,1006.78,-0.630566,0.341801,0.498094,0.487299,100,0,1000
2.19,90.9144,5.36781,1006.75,-0.641051,0.334565,0.483564,0.49324,100,0,1000
2.195,90.9883,5.56064,1006.72,-0.6641,0.337154,0.450864,0.491956,100,0,1000
2.2,91.0624,5.75337,1006.69,-0.698053,0.349283,0.397969,0.48202,100,0,1000
2.205,91.1367,5.94598,1006.66,-0.739589,0.36935,0.32214,0.461318,100,0,1000
2.21,91.2115,6.13845,1006.63,-0.776056,0.386658,0.241057,0.436033,100,0,1000
2.215,91.2868,6.33076,1006.6,-0.813442,0.410266,0.126241,0.3925,100,0,1000
2.22,91.3627,6.52292,1006.58,-0.837068,0.430631,0.00076024,0.337452,100,0,1000
2.225,91.4393,6.7149,1006.55,-0.843765,0.443561,-0.143888,0.265726,100,0,1000
2.23,91.5166,6.90668,1006.52,-0.822451,0.445086,-0.309559,0.172181,100,0,1000
2.235,91.5949,7.09823,1006.5,-0.771843,0.426568,-0.46629,0.0697986,100,0,1000
2.24,91.6739,7.28954,1006.48,-0.698309,0.390059,-0.599306,-0.0324202,100,0,1000
2.245,91.7538,7.48059,1006.45,-0.598446,0.336211,-0.713979,-0.138051,100,0,1000
2.25,91.8345,7.67135,1006.43,-0.463669,0.25985,-0.808886,-0.251383,100,0,1000
2.255,91.9163,7.86178,1006.41,-0.293735,0.163521,-0.869703,-0.361383,100,0,1000
2.26,91.9991,8.05185,1006.4,-0.0979634,0.0521283,-0.882326,-0.457369,100,0,1000
2.265,92.0829,8.24154,1006.38,0.120071,-0.0719455,-0.8352,-0.531834,100,0,1000
2.27,92.168,8.43079,1006.36,0.331023,-0.190142,-0.72245,-0.576485,100,0,1000
2.275,92.2542,8.61958,1006.35,0.533109,-0.306255,-0.543027,-0.571948,100,0,1000
2.28,92.3418,8.8079,1006.34,0.689069,-0.391524,-0.315641,-0.521789,100,0,1000
2.285,92.4305,8.9957,1006.33,0.790017,-0.437108,-0.0508212,-0.426881,100,0,1000
2.29,92.5206,9.18295,1006.32,0.818992,-0.440747,0.228333,-0.287851,100,0,1000
2.295,92.612,9.3696,1006.32,0.771266,-0.392508,0.486873,-0.118492,100,0,1000
2.3,92.7048,9.55562,1006.31,0.647127,-0.29621,0.699055,0.0693514,100,0,1000
2.305,92.7989,9.74094,1006.31,0.445552,-0.159143,0.841451,0.260993,100,0,1000
2.31,92.8944,9.92552,1006.31,0.186144,0.00577971,0.881122,0.434674,100,0,1000
2.315,92.9914,10.1093,1006.32,-0.107911,0.177207,0.800716,0.561966,100,0,1000
2.32,93.0898,10.2922,1006.33,-0.378184,0.316051,0.607882,0.622549,100,0,1000
2.325,93.1897,10.4741,1006.33,-0.602433,0.409617,0.323652,0.603769,100,0,1000
2.33,93.2911,10.6552,1006.35,-0.74324,0.439953,-0.00669444,0.503975,100,0,1000
2.335,93.3938,10.8352,1006.36,-0.784415,0.397892,-0.33668,0.336186,100,0,1000
2.34,93.4979,11.0142,1006.38,-0.716908,0.288069,-0.624531,0.114104,100,0,1000
2.345,93.6034,11.192,1006.4,-0.557375,0.131536,-0.810585,-0.12241,100,0,1000
2.35,93.7102,11.3688,1006.42,-0.328884,-0.0421702,-0.879593,-0.341134,100,0,1000
2.355,93.8183,11.5444,1006.45,-0.0672997,-0.210457,-0.820327,-0.527486,100,0,1000
2.36,93.9275,11.7189,1006.48,0.186337,-0.340304,-0.650679,-0.652755,100,0,1000
2.365,94.0379,11.8921,1006.51,0.417596,-0.419634,-0.388106,-0.706325,100,0,1000
2.37,94.1493,12.064,1006.54,0.594399,-0.433713,-0.0708403,-0.673472,100,0,1000
2.375,94.2617,12.2347,1006.58,0.693174,-0.38313,0.251197,-0.556436,100,0,1000
2.38,94.3751,12.404,1006.62,0.712095,-0.270495,0.525207,-0.379356,100,0,1000
2.385,94.4894,12.5719,1006.66,0.64882,-0.119961,0.735306,-0.154813,100,0,1000
2.39,94.6045,12.7385,1006.71,0.522563,0.0538001,0.84584,0.092672,100,0,1000
2.395,94.7203,12.9037,1006.76,0.351673,0.221665,0.845925,0.334069,100,0,1000
2.4,94.8368,13.0675,1006.81,0.157569,0.359653,0.736829,0.550368,100,0,1000
2.405,94.9539,13.2298,1006.87,-0.0616349,0.458381,0.535038,0.706982,100,0,1000
2.41,95.0715,13.3906,1006.93,-0.267663,0.488481,0.263255,0.78768,100,0,1000
2.415,95.1896,13.5498,1006.99,-0.441005,0.452495,-0.043214,0.773883,100,0,1000
2.42,95.3081,13.7074,1007.05,-0.565299,0.330173,-0.340658,0.674815,100,0,1000
2.425,95.427,13.8635,1007.12,-0.622556,0.159631,-0.579898,0.500661,100,0,1000
2.43,95.5461,14.018,1007.19,-0.616677,-0.0389494,-0.738316,0.270338,100,0,1000
2.435,95.6653,14.1709,1007.27,-0.55242,-0.237037,-0.799104,0.00884936,100,0,1000
2.44,95.7846,14.3222,1007.34,-0.429832,-0.414401,-0.756048,-0.268156,100,0,1000
2.445,95.904,14.4719,1007.42,-0.262282,-0.536728,-0.614626,-0.515137,100,0,1000
2.45,96.0232,14.62,1007.51,-0.0692978,-0.588059,-0.397319,-0.701086,100,0,1000
2.455,96.1424,14.7664,1007.59,0.124923,-0.553188,-0.128963,-0.813478,100,0,1000
2.46,96.2614,14.9113,1007.68,0.300766,-0.429798,0.152958,-0.837506,100,0,1000
2.465,96.38,15.0545,1007.77,0.442657,-0.236411,0.416017,-0.75835,100,0,1000
2.47,96.4983,15.1961,1007.86,0.532578,0.0018173,0.613571,-0.583,100,0,1000
2.475,96.6162,15.3361,1007.96,0.557326,0.241403,0.720601,-0.334435,100,0,1000
2.48,96.7335,15.4744,1008.06,0.530546,0.452197,0.715634,-0.043666,100,0,1000
2.485,96.8502,15.6113,1008.16,0.448481,0.604267,0.60341,0.26386,100,0,1000
2.49,96.9662,15.7465,1008.27,0.308198,0.67182,0.407296,0.536452,100,0,1000
2.495,97.0815,15.8802,1008.37,0.131175,0.644065,0.157073,0.73709,100,0,1000
2.5,97.196,16.0124,1008.48,-0.0607814,0.513881,-0.116882,0.847686,100,0,1000
2.505,97.3097,16.1431,1008.6,-0.24601,0.297879,-0.373831,0.843207,100,0,1000
2.51,97.4224,16.2722,1008.71,-0.403778,0.0140682,-0.569306,0.716,100,0,1000
2.515,97.5342,16.3998,1008.83,-0.498371,-0.270463,-0.670062,0.479053,100,0,1000
2.52,97.6449,16.5258,1008.95,-0.52305,-0.51519,-0.658053,0.167222,100,0,1000
2.525,97.7545,16.6504,1009.07,-0.474265,-0.676864,-0.536068,-0.17193,100,0,1000
2.53,97.863,16.7735,1009.19,-0.359582,-0.725165,-0.321215,-0.491585,100,0,1000
2.535,97.9703,16.8952,1009.32,-0.181439,-0.653231,-0.0486401,-0.733487,100,0,1000
2.54,98.0764,17.0154,1009.45,0.0242433,-0.465484,0.229861,-0.854343,100,0,1000
2.545,98.1813,17.1341,1009.58,0.223858,-0.197948,0.465219,-0.833232,100,0,1000
2.55,98.285,17.2514,1009.71,0.389695,0.110897,0.622316,-0.669748,100,0,1000
2.555,98.3873,17.3672,1009.84,0.494076,0.404251,0.662378,-0.392077,100,0,1000
2.56,98.4884,17.4816,1009.98,0.52069,0.623076,0.581209,-0.0534188,100,0,1000
2.565,98.5881,17.5947,1010.12,0.463389,0.73454,0.393171,0.301891,100,0,1000
2.57,98.6864,17.7064,1010.26,0.334342,0.705256,0.12901,0.611708,100,0,1000
2.575,98.7832,17.8168,1010.4,0.14959,0.538109,-0.157871,0.814333,100,0,1000
2.58,98.8785,17.9258,1010.54,-0.0634722,0.26394,-0.414905,0.868425,100,0,1000
2.585,98.9722,18.0336,1010.68,-0.264396,-0.0609333,-0.591558,0.759237,100,0,1000
2.59,99.0644,18.1401,1010.83,-0.417661,-0.377979,-0.654368,0.504473,100,0,1000
2.595,99.1551,18.2454,1010.98,-0.496392,-0.618554,-0.587188,0.161852,100,0,1000
2.6,99.2441,18.3494,1011.13,-0.486282,-0.743143,-0.407351,-0.212917,100,0,1000
2.605,99.3316,18.4522,1011.28,-0.390406,-0.722558,-0.147246,-0.55119,100,0,1000
2.61,99.4173,18.5537,1011.43,-0.220783,-0.546781,0.149038,-0.793772,100,0,1000
2.615,99.5014,18.6541,1011.59,-0.0118907,-0.266241,0.407918,-0.873257,100,0,1000
2.62,99.5838,18.7534,1011.74,0.197039,0.0661517,0.580098,-0.787583,100,0,1000
2.625,99.6645,18.8515,1011.9,0.370111,0.387003,0.637434,-0.554007,100,0,1000
2.63,99.7436,18.9486,1012.06,0.472762,0.629448,0.574457,-0.224254,100,0,1000
2.635,99.8209,19.0446,1012.22,0.497338,0.754413,0.403726,0.143251,100,0,1000
2.64,99.8966,19.1396,1012.38,0.440264,0.738949,0.159741,0.48436,100,0,1000
2.645,99.9706,19.2337,1012.54,0.307883,0.583011,-0.114864,0.743043,100,0,1000
2.65,100.043,19.3268,1012.7,0.118088,0.324269,-0.369097,0.862944,100,0,1000
2.655,100.113,19.4189,1012.86,-0.091791,0.00155758,-0.548665,0.830986,100,0,1000
2.66,100.182,19.5101,1013.03,-0.282034,-0.316765,-0.631459,0.649135,100,0,1000
2.665,100.249,19.6004,1013.19,-0.429746,-0.577102,-0.592414,0.362377,100,0,1000
2.67,100.315,19.6898,1013.36,-0.510264,-0.734989,-0.446267,0.016363,100,0,1000
2.675,100.378,19.7785,1013.53,-0.514512,-0.760123,-0.221442,-0.329323,100,0,1000
2.68,100.44,19.8664,1013.7,-0.429014,-0.663899,0.0346612,-0.611542,100,0,1000
2.685,100.5,19.9535,1013.86,-0.282309,-0.458429,0.277967,-0.795537,100,0,1000
2.69,100.559,20.04,1014.03,-0.0989196,-0.178302,0.46649,-0.860703,100,0,1000
2.695,100.616,20.1259,1014.2,0.100684,0.134172,0.578033,-0.798585,100,0,1000
2.7,100.671,20.2111,1014.37,0.279564,0.418813,0.603961,-0.617795,100,0,1000
2.705,100.725,20.2958,1014.54,0.418919,0.640066,0.5397,-0.351493,100,0,1000
2.71,100.776,20.3799,1014.72,0.50579,0.766467,0.393949,-0.0388444,100,0,1000
2.715,100.827,20.4634,1014.89,0.526254,0.780033,0.188837,0.280973,100,0,1000
2.72,100.875,20.5465,1015.06,0.47334,0.676163,-0.045469,0.562747,100,0,1000
2.725,100.922,20.6291,1015.23,0.350445,0.467221,-0.274512,0.763895,100,0,1000
2.73,100.967,20.7111,1015.41,0.177355,0.197762,-0.461218,0.846589,100,0,1000
2.735,101.01,20.7927,1015.58,-0.0206593,-0.100138,-0.579803,0.808316,100,0,1000
2.74,101.052,20.8738,1015.75,-0.21169,-0.378362,-0.617385,0.656404,100,0,1000
2.745,101.092,20.9544,1015.93,-0.381995,-0.606358,-0.559594,0.41625,100,0,1000
2.75,101.131,21.0346,1016.1,-0.505599,-0.742389,-0.419927,0.129963,100,0,1000
2.755,101.167,21.1144,1016.28,-0.559454,-0.778826,-0.225013,-0.172657,100,0,1000
2.76,101.203,21.1939,1016.45,-0.536532,-0.714884,-0.00338284,-0.4484,100,0,1000
2.765,101.236,21.273,1016.63,-0.451725,-0.562985,0.209141,-0.659737,100,0,1000
2.77,101.268,21.3518,1016.8,-0.321109,-0.337877,0.387419,-0.795383,100,0,1000
2.775,101.299,21.4302,1016.98,-0.153927,-0.0753986,0.5196,-0.837041,100,0,1000
2.78,101.328,21.5085,1017.15,0.0290715,0.19571,0.582906,-0.788082,100,0,1000
2.785,101.355,21.5864,1017.33,0.211826,0.448114,0.577988,-0.648269,100,0,1000
2.79,101.381,21.6642,1017.51,0.369375,0.64662,0.505607,-0.435667,100,0,1000
2.795,101.405,21.7418,1017.68,0.484857,0.767446,0.377664,-0.18251,100,0,1000
2.8,101.428,21.8191,1017.86,0.551093,0.802935,0.211095,0.0838511,100,0,1000
2.805,101.449,21.8963,1018.03,0.564976,0.751678,0.0236427,0.339445,100,0,1000
2.81,101.469,21.9734,1018.21,0.522384,0.626096,-0.162108,0.555734,100,0,1000
2.815,101.487,22.0504,1018.38,0.434203,0.437382,-0.325966,0.716876,100,0,1000
2.82,101.505,22.1272,1018.56,0.31194,0.216041,-0.451457,0.807593,100,0,1000
2.825,101.52,22.204,1018.73,0.162555,-0.0221245,-0.53901,0.826168,100,0,1000
2.83,101.535,22.2807,1018.91,-0.0021089,-0.259814,-0.580361,0.771799,100,0,1000
2.835,101.548,22.3573,1019.08,-0.170666,-0.478666,-0.567508,0.647832,100,0,1000
2.84,101.559,22.4338,1019.26,-0.323063,-0.649336,-0.500989,0.472231,100,0,1000
2.845,101.569,22.5103,1019.43,-0.457124,-0.760594,-0.382455,0.257414,100,0,1000
2.85,101.578,22.5868,1019.61,-0.552292,-0.800427,-0.23149,0.0264922,100,0,1000
2.855,101.586,22.6633,1019.78,-0.595402,-0.774487,-0.0634885,-0.204049,100,0,1000
