t,x,y,z,qw,qx,qy,qz,tx,ty,tz
0.275,13.8227,0.0348953,999.901,0.209713,0.00422534,-0.931923,-0.295843,100,0,1000
0.28,14.0664,0.0348661,999.892,0.18734,0.0143756,-0.932191,-0.309382,100,0,1000
0.285,14.3099,0.0347637,999.883,0.164815,0.0249488,-0.930946,-0.32489,100,0,1000
0.29,14.5534,0.0345777,999.874,0.142091,0.0358625,-0.928142,-0.342166,100,0,1000
0.295,14.7967,0.0343064,999.864,0.119292,0.04653,-0.925003,-0.357735,100,0,1000
0.3,15.0399,0.033952,999.854,0.0963459,0.0572228,-0.920854,-0.373458,100,0,1000
0.305,15.2831,0.0335171,999.844,0.0734163,0.0677069,-0.9165,-0.387368,100,0,1000
0.31,15.5261,0.0329983,999.834,0.0502144,0.0783555,-0.910116,-0.403768,100,0,1000
0.315,15.769,0.032383,999.823,0.0268097,0.0890292,-0.901847,-0.421933,100,0,1000
0.32,16.0118,0.0316663,999.812,0.00343565,0.0995857,-0.892744,-0.439407,100,0,1000
0.325,16.2545,0.0308564,999.801,-0.0195903,0.110018,-0.884181,-0.453581,100,0,1000
0.33,16.497,0.0299579,999.79,-0.0427192,0.120325,-0.874281,-0.468327,100,0,1000
0.335,16.7395,0.0289625,999.778,-0.0660667,0.130377,-0.862306,-0.484836,100,0,1000
0.34,16.9819,0.0278711,999.766,-0.0889267,0.140477,-0.850918,-0.498295,100,0,1000
0.345,17.2241,0.0266851,999.754,-0.112038,0.150223,-0.837486,-0.51332,100,0,1000
0.35,17.4663,0.0253995,999.742,-0.134983,0.159841,-0.823339,-0.527583,100,0,1000
0.355,17.7083,0.0240072,999.729,-0.158305,0.168809,-0.806486,-0.54408,100,0,1000
0.36,17.9502,0.0224952,999.717,-0.181798,0.177215,-0.787436,-0.561683,100,0,1000
0.365,18.1921,0.020853,999.704,-0.205486,0.184953,-0.765956,-0.580414,100,0,1000
0.37,18.4338,0.0190811,999.69,-0.228386,0.192956,-0.744955,-0.596364,100,0,1000
0.375,18.6754,0.0171844,999.677,-0.251067,0.200611,-0.722742,-0.611854,100,0,1000
0.38,18.9169,0.0151684,999.663,-0.272845,0.20868,-0.701343,-0.624601,100,0,1000
0.385,19.1583,0.0130361,999.65,-0.294611,0.216122,-0.678205,-0.6376,100,0,1000
0.39,19.3995,0.0107773,999.635,-0.316666,0.222403,-0.652224,-0.651815,100,0,1000
0.395,19.6407,0.00838449,999.621,-0.338297,0.228295,-0.625219,-0.665235,100,0,1000
0.4,19.8818,0.00585891,999.606,-0.359284,0.234073,-0.597797,-0.677321,100,0,1000
0.405,20.1227,0.00319952,999.592,-0.380007,0.239104,-0.568797,-0.689126,100,0,1000
0.41,20.3636,0.000407178,999.577,-0.399871,0.2444,-0.540015,-0.699111,100,0,1000
0.415,20.6043,-0.00252093,999.561,-0.419829,0.248259,-0.508555,-0.709565,100,0,1000
0.42,20.845,-0.00559261,999.546,-0.439292,0.251417,-0.475848,-0.719292,100,0,1000
0.425,21.0855,-0.00880261,999.53,-0.457328,0.25547,-0.444625,-0.726564,100,0,1000
0.43,21.3259,-0.0121502,999.514,-0.475396,0.257934,-0.410792,-0.733975,100,0,1000
0.435,21.5662,-0.0156433,999.498,-0.492894,0.259635,-0.375818,-0.740545,100,0,1000
0.44,21.8064,-0.0192848,999.482,-0.509774,0.260638,-0.339778,-0.746156,100,0,1000
0.445,22.0465,-0.0230846,999.465,-0.526723,0.259324,-0.300407,-0.751711,100,0,1000
0.45,22.2865,-0.0270484,999.448,-0.542401,0.258143,-0.261377,-0.755543,100,0,1000
0.455,22.5264,-0.0311754,999.431,-0.55732,0.256066,-0.221218,-0.758213,100,0,1000
0.46,22.7662,-0.0354657,999.414,-0.571007,0.253908,-0.181301,-0.75935,100,0,1000
0.465,23.0059,-0.0399256,999.396,-0.584484,0.249209,-0.138391,-0.759685,100,0,1000
0.47,23.2454,-0.0445667,999.379,-0.597124,0.243116,-0.0939823,-0.75862,100,0,1000
0.475,23.4849,-0.0493894,999.361,-0.608149,0.237297,-0.0505001,-0.75584,100,0,1000
0.48,23.7242,-0.0543941,999.343,-0.618273,0.229899,-0.00572431,-0.751566,100,0,1000
0.485,23.9635,-0.0595824,999.324,-0.62684,0.222672,0.0383218,-0.745668,100,0,1000
0.49,24.2026,-0.0649539,999.306,-0.634279,0.21435,0.0829771,-0.738146,100,0,1000
0.495,24.4416,-0.0705017,999.287,-0.639573,0.208141,0.124471,-0.729472,100,0,1000
0.5,24.6806,-0.0762102,999.268,-0.643169,0.203301,0.163707,-0.719863,100,0,1000
0.505,24.9194,-0.0820858,999.249,-0.646706,0.194449,0.206612,-0.708006,100,0,1000
0.51,25.1581,-0.0881477,999.23,-0.649382,0.183337,0.250993,-0.694041,100,0,1000
0.515,25.3967,-0.0944019,999.211,-0.650545,0.171898,0.294697,-0.678525,100,0,1000
0.52,25.6352,-0.100854,999.191,-0.650556,0.158448,0.339543,-0.660592,100,0,1000
0.525,25.8736,-0.107509,999.171,-0.648874,0.144862,0.383306,-0.641135,100,0,1000
0.53,26.1119,-0.114369,999.152,-0.645757,0.130203,0.426585,-0.619734,100,0,1000
0.535,26.3501,-0.121432,999.131,-0.640919,0.115815,0.468137,-0.597208,100,0,1000
0.54,26.5882,-0.128695,999.111,-0.634321,0.102137,0.507775,-0.573907,100,0,1000
0.545,26.8261,-0.136148,999.091,-0.626158,0.0891983,0.545282,-0.550125,100,0,1000
0.55,27.064,-0.143779,999.07,-0.616313,0.0790408,0.579069,-0.527816,100,0,1000
0.555,27.3018,-0.151588,999.049,-0.605616,0.0654736,0.614469,-0.501368,100,0,1000
0.56,27.5394,-0.159587,999.028,-0.59359,0.0519155,0.648291,-0.473999,100,0,1000
0.565,27.777,-0.167779,999.007,-0.580302,0.0369199,0.681667,-0.444092,100,0,1000
0.57,28.0144,-0.176179,998.986,-0.565681,0.0197713,0.714829,-0.410649,100,0,1000
0.575,28.2518,-0.184793,998.965,-0.549581,0.00292634,0.74574,-0.376595,100,0,1000
0.58,28.489,-0.193612,998.943,-0.532113,-0.0124413,0.773708,-0.343623,100,0,1000
0.585,28.7262,-0.202631,998.922,-0.513461,-0.0277649,0.799716,-0.309905,100,0,1000
0.59,28.9632,-0.21185,998.9,-0.493557,-0.0435304,0.824058,-0.274654,100,0,1000
0.595,29.2001,-0.221276,998.878,-0.472501,-0.0597875,0.846541,-0.237776,100,0,1000
0.6,29.437,-0.230919,998.856,-0.450003,-0.0776005,0.867519,-0.197195,100,0,1000
0.605,29.6737,-0.240788,998.834,-0.426141,-0.0954066,0.886052,-0.155608,100,0,1000
0.61,29.9103,-0.250882,998.811,-0.401119,-0.112357,0.901837,-0.11476,100,0,1000
0.615,30.1468,-0.261199,998.789,-0.374827,-0.129397,0.915141,-0.0726547,100,0,1000
0.62,30.3832,-0.271746,998.766,-0.347168,-0.146677,0.925814,-0.0287883,100,0,1000
0.625,30.6196,-0.28252,998.743,-0.318934,-0.162467,0.933666,0.0123424,100,0,1000
0.63,30.8558,-0.293514,998.721,-0.289848,-0.17774,0.938914,0.0532568,100,0,1000
0.635,31.0919,-0.304732,998.698,-0.259421,-0.1933,0.941276,0.0966217,100,0,1000
