run,dx,dy,dz,dvx,dvy,dvz,missDistance,interceptTime,hit
379,53.7229,-169.175,31.1412,4387.92,37.5509,32.349,8.12485,2.1263,1
380,137.795,25.5416,-65.3492,4325.77,33.4187,33.5564,12.1512,2.1083,0
381,-55.8089,62.3414,56.1208,4392.32,8.53524,15.3478,11.039,2.1494,0
382,51.0881,-68.9889,-92.5034,4385.98,-9.42021,9.06191,12.0779,2.1267,0
383,-25.4862,179.607,-24.5427,4394.61,-14.9221,23.2287,12.5256,2.1432,0
384,-65.153,98.4474,-29.3631,4419.02,32.7292,-25.2798,12.7315,2.1513,0
385,86.1412,-40.1863,43.9929,4415.08,-16.5836,16.943,7.6213,2.1189,1
386,-20.6249,-10.9986,-112.11,4358.65,-16.0576,-5.2367,12.5999,2.1421,0
387,-61.279,157.896,128.623,4392.42,44.4052,14.5594,9.38053,2.1507,1
388,-6.32124,-78.6343,51.7661,4424.73,11.3738,11.1022,9.79565,2.1387,1
389,-101.166,7.92581,85.6695,4395.15,-4.94081,23.4627,9.64134,2.159,1
390,-154.391,41.1152,33.9485,4381.73,-18.6785,11.9918,10.1988,2.1705,0
391,71.4939,-33.2716,-156.722,4394.93,-3.46773,13.7765,11.9328,2.1225,0
392,-14.7785,3.56322,-80.3331,4414.07,35.7516,-10.7332,12.9536,2.1406,0
393,-70.5081,36.7783,-62.7453,4412.51,-0.993701,32.3414,11.7708,2.1525,0
394,-152.819,-56.1286,35.5708,4329.92,33.5934,24.0221,10.5482,2.1703,0
395,-34.723,-13.4592,-108.547,4410.69,4.58964,-18.8503,12.4044,2.1449,0
396,47.7511,-103.111,65.3244,4410.9,2.99133,31.1833,8.83357,2.1272,1
397,-47.3168,122.874,-108.749,4375.1,-38.1181,26.1907,12.9191,2.1479,0
398,-42.2222,-122.361,66.2997,4393.81,-1.63926,4.39595,11.3654,2.1466,0
399,49.2934,-64.5939,-23.2411,4416.99,-10.4772,-3.38396,12.1757,2.1269,0
400,-27.1272,88.3324,65.8222,4407.65,33.3042,2.0287,11.5028,2.1432,0
401,2.6411,-90.9601,-70.9928,4421.26,-18.9793,56.5393,12.0917,2.1369,0
402,150.55,-48.5219,-175.071,4400.29,23.0869,8.67492,9.94108,2.1056,1
403,99.8952,-295.501,8.54957,4445.86,33.8907,73.1852,6.77689,2.1168,1
404,19.8359,41.1083,-70.1736,4423.86,-1.5942,8.18051,12.9299,2.1332,0
405,15.6452,22.5414,101.307,4365.63,-48.7839,19.6241,8.95485,2.1341,1
406,-51.2147,9.45926,-76.4584,4399.41,0.62651,32.5903,11.9083,2.1485,0
407,-25.9846,71.754,-121.445,4406.86,-5.93438,-43.2748,7.77509,2.1431,1
408,-5.68329,65.8492,-59.1435,4395.24,51.4441,-4.78535,12.2356,2.1387,0
409,134.214,19.7345,46.3676,4394.9,-12.8394,-3.28229,11.4814,2.1087,0
410,-73.7389,-116.15,-69.3261,4338.88,8.08,-24.9602,9.848,2.1535,1
411,230.471,207.545,-65.9814,4397.4,-37.0168,15.2443,10.1278,2.0886,0
412,-136.602,99.1539,69.8652,4400.18,1.03718,6.90443,11.5782,2.1667,0
413,-117.6,-42.3002,5.3743,4408.22,13.9588,3.83311,10.7906,2.1626,0
414,64.2989,97.8529,-36.2762,4418.2,23.4667,-29.7925,11.2115,2.1236,0
415,-234.684,103.114,191.262,4423.53,4.88582,54.0519,12.2535,2.1877,0
416,-85.8027,-17.6507,83.7345,4424.24,-19.4535,-13.3331,9.59503,2.1557,1
417,-215.084,-7.82392,-72.8388,4424.22,52.8642,32.8425,11.9756,2.1834,0
418,22.2297,98.0486,101.921,4378.44,8.85326,-6.43842,10.6528,2.1328,0
419,57.948,57.9427,117.28,4364.14,37.7027,26.2559,8.69319,2.1251,1
420,43.0933,-73.2828,112.763,4431.85,-20.2106,52.033,6.39657,2.1281,1
421,86.2365,-105.614,-236.312,4404.05,26.6977,8.59105,13.2838,2.1198,0
422,66.6047,240.798,-30.639,4436.17,-16.2813,-32.3489,11.1513,2.1235,0
423,118.335,-258.557,21.6067,4422.6,8.89262,-29.3017,12.7301,2.1127,0
424,0.286731,24.0211,129.61,4407.13,28.4492,22.361,9.60898,2.1373,1
425,-8.4573,-91.2232,-10.2968,4388.52,-13.4377,37.5451,11.885,2.1393,0
426,94.7783,-1.62666,-82.3774,4464.88,-17.9817,21.8578,12.5073,2.117,0
427,-108.468,31.0543,-104.123,4446.04,22.5533,29.9391,12.7727,2.1606,0
428,-55.0672,228.107,-197.285,4401.38,-6.0612,33.3918,14.5604,2.1501,0
429,-119.669,124.369,10.2358,4430.68,32.3577,-5.44398,12.5238,2.1629,0
430,-46.3439,-68.4139,85.2276,4407.13,-34.4642,0.121063,4.93208,2.1473,1
431,57.0979,171.418,-1.33523,4370.47,-12.6689,17.6254,12.4913,2.1255,0
432,161.142,-74.8607,123.896,4400.08,33.9745,53.5748,8.2155,2.103,1
433,55.6032,-86.92,27.705,4359.39,4.47298,0.188279,11.8339,2.1257,0
434,-69.2494,2.86373,-33.5561,4422.34,32.3239,14.5055,12.3381,2.1522,0
435,-48.4149,122.878,-153.915,4384.5,15.6032,-21.9759,14.5831,2.1482,0
436,1.70944,-71.5784,-34.1588,4381.21,-19.7989,-1.32499,12.0446,2.1372,0
437,-158.105,68.0891,79.9674,4413.7,7.051,26.2793,11.0296,2.1712,0
438,-206.803,58.8175,-184.178,4374.04,19.0963,-12.7576,8.07148,2.1821,1
439,34.6328,12.4329,-217.834,4417.88,22.6432,-2.2472,12.6836,2.1305,0
440,70.2346,85.9369,27.6802,4409.87,-8.64179,0.794558,12.0256,2.1224,0
441,-21.6402,7.53793,-85.739,4412.06,-27.6558,26.868,12.5946,2.1421,0
442,-25.0401,-8.96962,-100.129,4399.4,3.52426,51.702,11.5389,2.1429,0
443,-37.124,145.674,-33.3458,4410.75,-18.4809,25.2889,12.6526,2.1455,0
444,-65.359,-122.964,0.489907,4406.75,-22.2808,-13.1517,8.88925,2.1515,1
445,78.0704,-28.0053,19.5923,4391,-3.60128,-20.7972,12.5007,2.1208,0
446,38.2574,15.2424,93.4806,4373.53,-14.4009,-2.41054,9.0879,2.1293,1
